language,model,all_feats,p (0),r (0),f1 (0),p (1),r (1),f1 (1),p (macro),r (macro),f1 (macro),acc,dim. training set,dim. test set
italian,RF,Sidorovbigramsform Sidorovbigramsdeprel deprel relationformVERB chargrams relationformNOUN,0.727,0.652,0.688,0.683,0.754,0.717,0.705,0.703,0.702,0.703,3977,872
italian,RF,ngrams Sidorovbigramsform Sidorovbigramsdeprel relationformVERB chargrams relationformNOUN,0.741,0.622,0.677,0.673,0.782,0.723,0.707,0.702,0.700,0.702,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsdeprel deprel relationformVERB deprelneg Sidorovbigramsupostag chargram,0.727,0.645,0.684,0.680,0.756,0.716,0.703,0.701,0.700,0.701,3977,872
italian,RF,Sidorovbigramsform Sidorovbigramsdeprel deprel relationformVERB deprelneg Sidorovbigramsupostag chargrams relationformNOUN,0.724,0.648,0.684,0.680,0.752,0.714,0.702,0.700,0.699,0.700,3977,872
italian,RF,Sidorovbigramsdeprel deprel Sidorovbigramsupostag chargrams relationformNOUN,0.731,0.634,0.679,0.676,0.766,0.718,0.703,0.700,0.698,0.700,3977,872
italian,RF,relationformADJ Sidorovbigramsdeprel deprel deprelneg Sidorovbigramsupostag chargrams relationformNOUN,0.733,0.627,0.676,0.673,0.770,0.718,0.703,0.699,0.697,0.698,3977,872
italian,RF,Sidorovbigramsdeprel deprel Sidorovbigramsupostag chargram,0.736,0.620,0.673,0.671,0.777,0.720,0.704,0.699,0.697,0.698,3977,872
italian,RF,relationformADJ Sidorovbigramsform Sidorovbigramsdeprel deprel relationformVERB deprelneg Sidorovbigramsupostag chargram,0.725,0.638,0.679,0.676,0.756,0.714,0.700,0.697,0.696,0.697,3977,872
italian,RF,ngrams Sidorovbigramsform Sidorovbigramsdeprel relationformVERB deprelneg Sidorovbigramsupostag chargram,0.727,0.634,0.677,0.674,0.761,0.715,0.701,0.697,0.696,0.697,3977,872
italian,RF,relationformADJ Sidorovbigramsform Sidorovbigramsdeprel deprel deprelneg Sidorovbigramsupostag chargrams relationformNOUN,0.736,0.618,0.672,0.669,0.777,0.719,0.703,0.697,0.695,0.697,3977,872
italian,RF,Sidorovbigramsform deprel relationformVERB deprelneg Sidorovbigramsupostag chargram,0.736,0.618,0.672,0.669,0.777,0.719,0.703,0.697,0.695,0.697,3977,872
italian,RF,Sidorovbigramsdeprel deprel relationformVERB chargram,0.721,0.643,0.680,0.676,0.749,0.711,0.698,0.696,0.695,0.696,3977,872
italian,RF,relationformADJ Sidorovbigramsdeprel deprel relationformVERB chargrams relationformNOUN,0.725,0.634,0.676,0.674,0.759,0.714,0.699,0.696,0.695,0.696,3977,872
italian,RF,Sidorovbigramsform Sidorovbigramsdeprel deprel relationformVERB Sidorovbigramsupostag chargrams relationformNOUN,0.729,0.627,0.674,0.671,0.766,0.715,0.700,0.696,0.695,0.696,3977,872
italian,RF,relationformADJ Sidorovbigramsform deprel relationformVERB deprelneg chargram,0.712,0.657,0.683,0.680,0.733,0.706,0.696,0.695,0.695,0.695,3977,872
italian,RF,Sidorovbigramsform Sidorovbigramsdeprel deprelneg Sidorovbigramsupostag chargrams relationformNOUN,0.746,0.600,0.665,0.664,0.795,0.724,0.705,0.697,0.694,0.697,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsform Sidorovbigramsdeprel deprelneg Sidorovbigramsupostag chargrams relationformNOUN,0.720,0.641,0.678,0.675,0.749,0.710,0.697,0.695,0.694,0.695,3977,872
italian,RF,relationformVERB deprelneg chargram,0.721,0.638,0.677,0.674,0.752,0.711,0.698,0.695,0.694,0.695,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsdeprel deprel Sidorovbigramsupostag chargram,0.727,0.627,0.673,0.671,0.763,0.714,0.699,0.695,0.694,0.695,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsdeprel deprel relationformVERB deprelneg chargrams relationformNOUN,0.743,0.602,0.665,0.664,0.791,0.722,0.704,0.696,0.694,0.696,3977,872
italian,RF,Sidorovbigramsform relationformVERB deprelneg Sidorovbigramsupostag chargram,0.729,0.622,0.672,0.669,0.768,0.715,0.699,0.695,0.693,0.695,3977,872
italian,RF,ngrams deprelneg Sidorovbigramsupostag chargram,0.718,0.641,0.677,0.674,0.747,0.709,0.696,0.694,0.693,0.694,3977,872
italian,RF,relationformADJ Sidorovbigramsform Sidorovbigramsdeprel Sidorovbigramsupostag chargrams relationformNOUN,0.734,0.613,0.668,0.667,0.777,0.718,0.700,0.695,0.693,0.695,3977,872
italian,RF,deprel deprelneg Sidorovbigramsupostag chargrams relationformNOUN,0.719,0.638,0.676,0.674,0.749,0.710,0.696,0.694,0.693,0.694,3977,872
